source,target,weight,source_label,target_label
UCGzXwyCzMzGmjmCbH3Hg01Q,UCXgr7vXlRrsaskPdo097kGA,1,@FidelZacarias-ph7dy,@Rogergh-nw4oj
UCGzXwyCzMzGmjmCbH3Hg01Q,UCXr8_5WtGeipe4haOoQDgyQ,1,@FidelZacarias-ph7dy,@amyherrera7352
UCGzXwyCzMzGmjmCbH3Hg01Q,UCYN4wSQ1Sx4_LurxLlW7MPg,1,@FidelZacarias-ph7dy,@belarminavillatoro6474
UCGzXwyCzMzGmjmCbH3Hg01Q,UCYwpX26TrCxq8TvbKGRYLXA,1,@FidelZacarias-ph7dy,@beneficioelcaminovillacana8540
UCGzXwyCzMzGmjmCbH3Hg01Q,UCZ51R_9Q9C0c8I3pAWhtmjQ,1,@FidelZacarias-ph7dy,@belvettzapeta1251
UCGzXwyCzMzGmjmCbH3Hg01Q,UCZLG9qH0tUjNhEGFIUt0CYw,1,@FidelZacarias-ph7dy,@SoniaMarroquin-y6e
UCGzXwyCzMzGmjmCbH3Hg01Q,UCcfdg8crmMJwEuLUsAhV7yg,1,@FidelZacarias-ph7dy,@RolandoRaguay
UCGzXwyCzMzGmjmCbH3Hg01Q,UCfM3nrxtTQMY5jFx1v1J4Gg,1,@FidelZacarias-ph7dy,@edgarroldan5539
UCGzXwyCzMzGmjmCbH3Hg01Q,UCgvw7xIdGFupzpt1Y_BFkEA,1,@FidelZacarias-ph7dy,@fredygarcia9151
UCGzXwyCzMzGmjmCbH3Hg01Q,UCh5ESQvtzyHDhCA7XyekCFA,1,@FidelZacarias-ph7dy,@andyB5280
UCGzXwyCzMzGmjmCbH3Hg01Q,UChZknRmJkeGeQk0-mQuhDOg,1,@FidelZacarias-ph7dy,@OdilioRodríguez-c5w
UCGzXwyCzMzGmjmCbH3Hg01Q,UChep9kVb5gQmpodEEl10Xlg,1,@FidelZacarias-ph7dy,@carlosaguilar-kz7ml
UCGzXwyCzMzGmjmCbH3Hg01Q,UChgkn5Jt5tWKYMoEOuCjz3Q,1,@FidelZacarias-ph7dy,@pablochitay46
UCGzXwyCzMzGmjmCbH3Hg01Q,UChs3tU2BcKOT0CezykvAsGw,1,@FidelZacarias-ph7dy,@byronpontaza
UCGzXwyCzMzGmjmCbH3Hg01Q,UCi1b_TRQfgO1Z9O2gNGGWNA,1,@FidelZacarias-ph7dy,@davidisraelesquitsaquil
UCGzXwyCzMzGmjmCbH3Hg01Q,UCiGRBf2RNF0WRKhRVT7zFoA,1,@FidelZacarias-ph7dy,@edwinavila4876
UCGzXwyCzMzGmjmCbH3Hg01Q,UCiMythXHsw7eQEMykCdmMUA,1,@FidelZacarias-ph7dy,@JavierBecerra-h6x
UCGzXwyCzMzGmjmCbH3Hg01Q,UCipetjeiWj4CZB6EbyYziZg,1,@FidelZacarias-ph7dy,@OseasSamayoa-ol5rz
UCGzXwyCzMzGmjmCbH3Hg01Q,UCj-LL25XJnjxepPKCc3NGog,1,@FidelZacarias-ph7dy,@anaaguirre8985
UCGzXwyCzMzGmjmCbH3Hg01Q,UCjSKM9j0Q7HLDr1hD6D-TUw,1,@FidelZacarias-ph7dy,@josehidalgo4875
UCGzXwyCzMzGmjmCbH3Hg01Q,UCjmPuazZJzscrwvk0QR9RVw,1,@FidelZacarias-ph7dy,@mynorrodas8591
UCGzXwyCzMzGmjmCbH3Hg01Q,UCkd9W714-947dEE6ZOEBATA,1,@FidelZacarias-ph7dy,@ARGELIATELON
UCGzXwyCzMzGmjmCbH3Hg01Q,UCl0ekS9Tt0jJGtOEM18S63w,1,@FidelZacarias-ph7dy,@monkchapin
