node_id,node_type,raw_id,label,comunidad
author::UCDPWkUX3sNNaCx-m1dV4glA,author,UCDPWkUX3sNNaCx-m1dV4glA,@hectoroliva949,1
author::UCDQaQv0hr2SS_PO-CMEwVHg,author,UCDQaQv0hr2SS_PO-CMEwVHg,@federicosaquimux1933,1
author::UCDUffaruH6dyUnUGwsTKpgg,author,UCDUffaruH6dyUnUGwsTKpgg,@luisletona2842,1
author::UCDftMWXQoJ6nONfY7GVOVjg,author,UCDftMWXQoJ6nONfY7GVOVjg,@luisgpacheco5858,1
author::UCDlr1VadSucIZgZ171pRBjQ,author,UCDlr1VadSucIZgZ171pRBjQ,@cuabatzjj5924,1
author::UCDrmf9y9nLgFY5wnA2hTuGA,author,UCDrmf9y9nLgFY5wnA2hTuGA,@laboratorio5528,2
author::UCEHXl4VvvVpq-_4xC5tsbhg,author,UCEHXl4VvvVpq-_4xC5tsbhg,@anibalg47,4
author::UCEgEQmRbtL5fwr9_DqAC--g,author,UCEgEQmRbtL5fwr9_DqAC--g,@ArielRodas-g5y,1
author::UCErZPJpHmLCsXs8ZWkAUupQ,author,UCErZPJpHmLCsXs8ZWkAUupQ,@dorisl.garciaroche7763,1
author::UCFFrEmn6lPYiWyElpfzTy5Q,author,UCFFrEmn6lPYiWyElpfzTy5Q,@denilsonlopez4083,10
author::UCFOxCyF926Y9eHhMeVoWLzw,author,UCFOxCyF926Y9eHhMeVoWLzw,@arielsarc09,5
author::UCFUuDARXdmmIrLppEqf-rFg,author,UCFUuDARXdmmIrLppEqf-rFg,@allanmunoz7410,1
author::UCFhxtoeARHPnXXPcDrOU3Xg,author,UCFhxtoeARHPnXXPcDrOU3Xg,@diegoalejandrolopezmendez205,1
author::UCFjudnPLoaSL1BaRuLahyHg,author,UCFjudnPLoaSL1BaRuLahyHg,@HaroldoCastillo-rh9iw,1
author::UCFoIAE8k82D6AV-8gjjKaNg,author,UCFoIAE8k82D6AV-8gjjKaNg,@eddymunoz9789,1
author::UCFxE8GbokBrBsPEKM1xrOjQ,author,UCFxE8GbokBrBsPEKM1xrOjQ,@JuanDavila-qd7qj,1
author::UCFybmWapGvBKcQod7cPPH9w,author,UCFybmWapGvBKcQod7cPPH9w,@vitalianochavez8382,4
author::UCGGHbtfbbe0o68etrOf0qxw,author,UCGGHbtfbbe0o68etrOf0qxw,@karensussetteleonvargas9794,2
author::UCGX_UbAQOXGZknv5iqklwTA,author,UCGX_UbAQOXGZknv5iqklwTA,@ronaldgarcia8522,7
author::UCGZMgmM92E3njyXNe9-kjAQ,author,UCGZMgmM92E3njyXNe9-kjAQ,@pasionpornada,6
author::UCGj2v6Gl5bN8NSrzJMXS-CA,author,UCGj2v6Gl5bN8NSrzJMXS-CA,@juliogutierrez492,3
author::UCGm3gRBEHGRJYmtCryZLtDw,author,UCGm3gRBEHGRJYmtCryZLtDw,@JoséLopez-g6k,9
author::UCGqKxQS-z3NZzZF-2w338AA,author,UCGqKxQS-z3NZzZF-2w338AA,@samuelaguilar529,5
author::UCGzXwyCzMzGmjmCbH3Hg01Q,author,UCGzXwyCzMzGmjmCbH3Hg01Q,@FidelZacarias-ph7dy,1
author::UCHGd14aYuZZShLD73dkk6mg,author,UCHGd14aYuZZShLD73dkk6mg,@noemiherrera3152,12
author::UCHMQ_lDhibZ-XZ_3fo6oxwg,author,UCHMQ_lDhibZ-XZ_3fo6oxwg,@crislexrubi4387,5
author::UCHTGCgY2l-DQJIvlA_cpa_Q,author,UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,1
author::UCHbwIx9pmQuf7i-4_xO2EpA,author,UCHbwIx9pmQuf7i-4_xO2EpA,@caminoseternos752,2
author::UCHhHUjaMAZ8SiXdCUCj9DkQ,author,UCHhHUjaMAZ8SiXdCUCj9DkQ,@fredymendez1786,1
author::UCHu8x4MVkayU6VgwVKd--MQ,author,UCHu8x4MVkayU6VgwVKd--MQ,@Hernandez-i1o,9
author::UCIUhbSCy3-SGRe5UtqM4fzQ,author,UCIUhbSCy3-SGRe5UtqM4fzQ,@jeanmorales1677,5
author::UCIXLDYqR_syskKRJy_x9W9Q,author,UCIXLDYqR_syskKRJy_x9W9Q,@carlitosramirez4739,8
author::UCIgoiXdIKJyUGmUoH2Lxdzg,author,UCIgoiXdIKJyUGmUoH2Lxdzg,@susievidal4134,6
author::UCIp19h9igblA2YKfSLPDAug,author,UCIp19h9igblA2YKfSLPDAug,@JoseReyes-rn6sh,5
author::UCJp3OrVYcBorC94sKwdch_A,author,UCJp3OrVYcBorC94sKwdch_A,@ULJoshmg2011,3
author::UCJxJC56BSAX-ArD0NAb9qnQ,author,UCJxJC56BSAX-ArD0NAb9qnQ,@alfonsowilian9157,13
author::UCKDR0f2fu2UzWL8mBv5-BHw,author,UCKDR0f2fu2UzWL8mBv5-BHw,@mireyamorales6595,1
author::UCKVzDUqbtdSMBcexaEtMmzQ,author,UCKVzDUqbtdSMBcexaEtMmzQ,@rotorairgroup8409,11
author::UCL13XhnRzbGokEkCkEOb0-g,author,UCL13XhnRzbGokEkCkEOb0-g,@raquelprado3643,1
author::UCL1MT278vSaQ83ZDkVWn1gw,author,UCL1MT278vSaQ83ZDkVWn1gw,@elmorodriguez6978,1
author::UCLFdHr9BEbXHkoJopbEPLZw,author,UCLFdHr9BEbXHkoJopbEPLZw,@kanterra4584,1
author::UCLXYp1Cvc5DLtq5UQL5D9vw,author,UCLXYp1Cvc5DLtq5UQL5D9vw,@jorgecifuentes-m5g,8
author::UCLggDc_a5HriXv7I1h02sOA,author,UCLggDc_a5HriXv7I1h02sOA,@guillermogonzalez5153,1
author::UCLh1Kde4_vI1sTZBkTNP7RQ,author,UCLh1Kde4_vI1sTZBkTNP7RQ,@JoelReynoso-d4r,10
author::UCN2N_wYOw6fMwCeSzdXLPIw,author,UCN2N_wYOw6fMwCeSzdXLPIw,@danielantoniogonzalezflore4901,7
author::UCN6qbfPSzFtjhqUDZ3Cv3CQ,author,UCN6qbfPSzFtjhqUDZ3Cv3CQ,@carlosmedranovelasquez6380,1
author::UCNBnKqWf4d-rS4HwJRQljmQ,author,UCNBnKqWf4d-rS4HwJRQljmQ,@LE_A22,1
author::UCNIeXbV_mEwpa412h1aqUWw,author,UCNIeXbV_mEwpa412h1aqUWw,@juandeleon9060,7
author::UCNiMNUJvaRJb0_QLClqwVnA,author,UCNiMNUJvaRJb0_QLClqwVnA,@Santiago.Nolasco,11
author::UCNkcuy42zEwddwEcOd_HpnA,author,UCNkcuy42zEwddwEcOd_HpnA,@vanigomez492,1
author::UCNpt5CQlTzNjlAKY6CJtClQ,author,UCNpt5CQlTzNjlAKY6CJtClQ,@eustaquiogomez9975,2
